arch_seq,id,objective,elapsed_sec,duration
"[71, 1, 1, 163, 5, 1, 1, 125, 7, 0, 1, 0, 94, 8, 0, 0, 0, 0, 119, 10, 1, 1, 0, 1, 62, 10, 0, 0, 0, 1, 174, 3, 1, 1, 0, 0]",26,0.18098819255828857,31544.86560678482,31539.35915541649
"[4, 1, 1, 48, 6, 1, 0, 16, 0, 1, 1, 1, 171, 8, 0, 0, 0, 1, 119, 9, 1, 1, 0, 0, 24, 0, 0, 0, 0, 1, 8, 4, 0, 0, 1, 0]",57,0.2272706925868988,31547.38949251175,13051.726171731949
"[157, 0, 0, 43, 5, 0, 0, 57, 6, 1, 1, 1, 118, 3, 1, 0, 1, 1, 29, 7, 0, 1, 1, 0, 2, 0, 1, 1, 1, 0, 151, 8, 1, 1, 0, 1]",60,0.9914712905883789,31731.908988952637,11449.32713007927
"[71, 9, 0, 61, 3, 1, 1, 27, 4, 1, 1, 0, 77, 7, 0, 0, 1, 0, 154, 10, 0, 1, 1, 1, 101, 7, 0, 1, 1, 1, 115, 2, 1, 1, 0, 0]",52,0.25083568692207336,32183.506739377975,16094.291455984116
"[157, 2, 0, 87, 2, 1, 1, 50, 6, 1, 0, 1, 21, 2, 0, 1, 0, 0, 120, 5, 0, 1, 0, 1, 127, 4, 1, 0, 0, 0, 33, 6, 0, 1, 0, 1]",6,0.19485534727573395,32541.920990228653,32536.415726423264
"[127, 1, 1, 32, 10, 1, 0, 169, 0, 1, 0, 1, 133, 2, 1, 0, 1, 0, 136, 7, 0, 0, 1, 1, 167, 2, 0, 1, 0, 0, 16, 9, 1, 1, 1, 0]",12,0.16337138414382935,33262.59630703926,33257.09064793587
"[150, 7, 1, 119, 7, 1, 1, 130, 5, 0, 0, 1, 52, 8, 1, 1, 1, 1, 54, 3, 0, 0, 0, 1, 114, 8, 0, 1, 0, 1, 57, 6, 1, 1, 0, 0]",56,0.5325227975845337,33847.48095321655,15470.446353197098
"[85, 6, 0, 55, 0, 0, 1, 43, 6, 1, 0, 1, 169, 9, 1, 0, 0, 0, 26, 4, 1, 1, 0, 0, 8, 0, 0, 0, 0, 1, 37, 6, 1, 1, 1, 1]",21,0.30231866240501404,33925.335888147354,33919.829721689224
"[118, 4, 1, 20, 4, 0, 0, 23, 6, 1, 1, 1, 47, 3, 1, 1, 0, 1, 20, 6, 0, 0, 0, 1, 118, 0, 1, 0, 1, 1, 157, 1, 1, 1, 0, 1]",48,0.2587813436985016,33993.922350883484,21421.66829586029
"[150, 3, 1, 18, 7, 0, 0, 81, 10, 1, 0, 0, 113, 5, 1, 1, 1, 0, 143, 4, 0, 1, 1, 1, 78, 3, 0, 0, 1, 1, 99, 8, 1, 1, 1, 0]",3,0.2099180817604065,35533.23200368881,35527.72694182396
"[75, 0, 0, 155, 10, 0, 1, 29, 10, 0, 1, 1, 97, 1, 0, 0, 1, 1, 119, 7, 1, 1, 0, 1, 16, 4, 0, 0, 1, 0, 46, 3, 1, 0, 0, 0]",51,0.4270072877407074,36434.08901500702,20676.97482061386
"[110, 9, 0, 157, 7, 0, 0, 2, 0, 1, 0, 1, 120, 8, 1, 0, 1, 0, 117, 6, 1, 1, 1, 0, 38, 9, 1, 1, 1, 1, 5, 6, 1, 0, 0, 0]",25,0.2848478853702545,37568.44208288193,37562.93568778038
"[8, 10, 0, 15, 9, 0, 0, 19, 6, 0, 0, 0, 3, 6, 1, 1, 1, 1, 44, 4, 1, 1, 0, 0, 66, 1, 1, 1, 1, 0, 167, 5, 1, 0, 1, 1]",92,2.5319454669952393,37911.88323998451,343.437034368515
"[127, 10, 1, 31, 8, 0, 1, 41, 1, 1, 0, 1, 19, 0, 1, 0, 0, 1, 161, 10, 1, 0, 1, 1, 44, 6, 1, 1, 0, 0, 92, 3, 0, 0, 1, 0]",70,0.7412503957748413,38819.52655529976,12447.735862016678
"[158, 6, 0, 138, 8, 1, 1, 49, 4, 1, 0, 0, 164, 4, 1, 0, 0, 1, 66, 1, 0, 1, 0, 0, 135, 4, 1, 1, 0, 1, 24, 6, 0, 0, 0, 1]",11,0.14299574494361877,38927.135088443756,38921.62948870659
"[167, 1, 1, 134, 0, 0, 0, 97, 8, 1, 0, 1, 122, 9, 1, 0, 0, 1, 126, 0, 0, 0, 1, 1, 17, 6, 0, 1, 0, 1, 28, 5, 1, 1, 1, 1]",69,0.20331236720085144,39227.95203232765,13395.229845523834
"[111, 10, 0, 20, 5, 0, 0, 40, 0, 1, 0, 0, 117, 5, 1, 1, 0, 1, 118, 8, 1, 1, 0, 0, 164, 7, 0, 0, 0, 1, 111, 9, 1, 0, 0, 1]",64,0.3502311408519745,40327.724220991135,17246.13768863678
"[86, 6, 1, 65, 2, 0, 1, 93, 8, 0, 1, 1, 123, 2, 1, 1, 1, 0, 145, 5, 0, 1, 0, 0, 80, 10, 1, 1, 0, 0, 108, 1, 0, 0, 0, 0]",79,0.7403988838195801,40938.34980273247,10763.271150827408
